Shipment ID,Origin City,Origin State,Origin Country,Destination City,Destination State,Destination Country
SHIP-100001,Montreal,QC,Canada,Toronto,ON,Canada
SHIP-100002,Chicago,IL,US,Los Angeles,CA,US
SHIP-100003,Atlanta,GA,US,Montreal,QC,Canada
SHIP-100004,Montreal,QC,Canada,Toronto,ON,Canada
SHIP-100005,Chicago,IL,US,Atlanta,GA,US
SHIP-100006,Los Angeles,CA,US,Atlanta,GA,US
SHIP-100007,Chicago,IL,US,Toronto,ON,Canada
SHIP-100008,Vancouver,BC,Canada,Los Angeles,CA,US
SHIP-100009,Montreal,QC,Canada,Toronto,ON,Canada
SHIP-100010,New York,NY,US,Toronto,ON,Canada
SHIP-100011,Chicago,IL,US,Houston,TX,US
SHIP-100012,Chicago,IL,US,Atlanta,GA,US
SHIP-100013,Houston,TX,US,New York,NY,US
SHIP-100014,Montreal,QC,Canada,Toronto,ON,Canada
SHIP-100015,Montreal,QC,Canada,New York,NY,US
SHIP-100016,New York,NY,US,New York,NY,US
SHIP-100017,New York,NY,US,Atlanta,GA,US
SHIP-100018,Los Angeles,CA,US,Houston,TX,US
SHIP-100019,Toronto,ON,Canada,Toronto,ON,Canada
SHIP-100020,Toronto,ON,Canada,Chicago,IL,US
SHIP-100021,Atlanta,GA,US,Chicago,IL,US
SHIP-100022,New York,NY,US,Toronto,ON,Canada
SHIP-100023,Los Angeles,CA,US,Montreal,QC,Canada
SHIP-100024,Toronto,ON,Canada,Houston,TX,US
SHIP-100025,Montreal,QC,Canada,Chicago,IL,US
SHIP-100026,Toronto,ON,Canada,Toronto,ON,Canada
SHIP-100027,New York,NY,US,Montreal,QC,Canada
SHIP-100028,Vancouver,BC,Canada,Atlanta,GA,US
SHIP-100029,Los Angeles,CA,US,Chicago,IL,US
SHIP-100030,Montreal,QC,Canada,Chicago,IL,US
SHIP-100031,Toronto,ON,Canada,Atlanta,GA,US
SHIP-100032,New York,NY,US,Los Angeles,CA,US
SHIP-100033,Atlanta,GA,US,Atlanta,GA,US
SHIP-100034,Chicago,IL,US,Toronto,ON,Canada
SHIP-100035,Toronto,ON,Canada,Houston,TX,US
SHIP-100036,Toronto,ON,Canada,Vancouver,BC,Canada
SHIP-100037,Montreal,QC,Canada,Los Angeles,CA,US
SHIP-100038,Montreal,QC,Canada,Los Angeles,CA,US
SHIP-100039,New York,NY,US,Toronto,ON,Canada
SHIP-100040,Toronto,ON,Canada,Houston,TX,US
SHIP-100041,Houston,TX,US,Toronto,ON,Canada
SHIP-100042,Los Angeles,CA,US,Atlanta,GA,US
SHIP-100043,Toronto,ON,Canada,Toronto,ON,Canada
SHIP-100044,Los Angeles,CA,US,Vancouver,BC,Canada
SHIP-100045,Los Angeles,CA,US,Chicago,IL,US
SHIP-100046,Los Angeles,CA,US,Los Angeles,CA,US
SHIP-100047,Atlanta,GA,US,Montreal,QC,Canada
SHIP-100048,Atlanta,GA,US,New York,NY,US
SHIP-100049,Chicago,IL,US,Toronto,ON,Canada
SHIP-100050,Los Angeles,CA,US,Vancouver,BC,Canada
SHIP-100051,Montreal,QC,Canada,New York,NY,US
SHIP-100052,Chicago,IL,US,New York,NY,US
SHIP-100053,New York,NY,US,Vancouver,BC,Canada
SHIP-100054,Vancouver,BC,Canada,New York,NY,US
SHIP-100055,Montreal,QC,Canada,Houston,TX,US
SHIP-100056,Chicago,IL,US,Montreal,QC,Canada
SHIP-100057,Los Angeles,CA,US,New York,NY,US
SHIP-100058,New York,NY,US,Atlanta,GA,US
SHIP-100059,Chicago,IL,US,New York,NY,US
SHIP-100060,Chicago,IL,US,Los Angeles,CA,US
SHIP-100061,Toronto,ON,Canada,Vancouver,BC,Canada
SHIP-100062,Los Angeles,CA,US,Los Angeles,CA,US
SHIP-100063,Los Angeles,CA,US,Chicago,IL,US
