Shipment ID,Delivery Date,Safety Compliant?
SHIP-100001,2025-08-19,Yes
SHIP-100002,2025-03-07,Yes
SHIP-100003,2025-10-28,Yes
SHIP-100004,2025-06-05,Yes
SHIP-100005,2025-02-03,Yes
SHIP-100006,2025-05-10,Yes
SHIP-100007,2025-01-29,Yes
SHIP-100008,2025-04-21,Yes
SHIP-100009,2025-10-21,Yes
SHIP-100010,2025-07-05,Yes
SHIP-100011,2025-03-27,Yes
SHIP-100012,2025-08-16,Yes
SHIP-100013,2025-07-28,Yes
SHIP-100014,2025-03-27,Yes
SHIP-100015,2025-09-28,Yes
SHIP-100016,2025-11-04,Yes
SHIP-100017,2025-05-09,No
SHIP-100018,2025-07-29,Yes
SHIP-100019,2025-05-14,Yes
SHIP-100020,2025-11-09,Yes
SHIP-100021,2025-03-28,Yes
SHIP-100022,2025-12-23,Yes
SHIP-100023,2025-10-10,Yes
SHIP-100024,2025-04-15,Yes
SHIP-100025,2025-10-23,Yes
SHIP-100026,2025-07-21,Yes
SHIP-100027,2025-02-12,Yes
SHIP-100028,2025-06-06,Yes
SHIP-100029,2025-01-11,Yes
SHIP-100030,2025-07-24,Yes
SHIP-100031,2025-02-07,Yes
SHIP-100032,2025-07-18,Yes
SHIP-100033,2026-01-05,No
SHIP-100034,2025-09-02,Yes
SHIP-100035,2025-05-14,Yes
SHIP-100036,2025-08-12,Yes
SHIP-100037,2025-12-20,Yes
SHIP-100038,2025-03-30,Yes
SHIP-100039,2025-11-02,Yes
SHIP-100040,2025-09-14,Yes
SHIP-100041,2025-01-09,Yes
SHIP-100042,2025-09-27,Yes
SHIP-100043,2025-07-02,Yes
SHIP-100044,2025-11-10,Yes
SHIP-100045,2025-08-24,Yes
SHIP-100046,2025-12-12,Yes
SHIP-100047,2025-10-31,Yes
SHIP-100048,2025-02-16,Yes
SHIP-100049,2025-02-23,Yes
SHIP-100050,2025-11-09,Yes
SHIP-100051,2025-01-21,Yes
SHIP-100052,2025-07-01,Yes
SHIP-100053,2025-05-20,Yes
SHIP-100054,2025-01-30,Yes
SHIP-100055,2025-09-23,Yes
SHIP-100056,2025-03-02,Yes
SHIP-100057,2025-11-15,Yes
SHIP-100058,2025-09-18,Yes
SHIP-100059,2025-12-10,Yes
SHIP-100060,2025-05-18,Yes
SHIP-100061,2025-03-01,Yes
SHIP-100062,2025-03-03,Yes
SHIP-100063,2025-12-12,Yes
SHIP-100064,2025-09-02,Yes
SHIP-100065,2025-12-23,Yes
SHIP-100066,2025-07-23,Yes
SHIP-100067,2025-10-31,Yes
