Shipment ID,Business Unit,SCAC Code,Shipment Date,Requested Delivery Date,Actual Delivery Date,Late Reason
SHIP-100001,Business Unit B,KNIN,2025-08-17,2025-08-20,2025-08-19,None
SHIP-100002,Business Unit B,CHRW,2025-03-03,2025-03-07,2025-03-07,None
SHIP-100003,Business Unit B,CHRW,2025-10-26,2025-10-28,2025-10-28,None
SHIP-100004,Business Unit A,MAEU,2025-06-02,2025-06-05,2025-06-05,None
SHIP-100005,Business Unit A,EXPD,2025-02-02,2025-02-04,2025-02-03,None
SHIP-100006,Business Unit A,EXPD,2025-05-05,2025-05-10,2025-05-10,None
SHIP-100007,Business Unit A,KNIN,2025-01-25,2025-01-29,2025-01-29,None
SHIP-100008,Business Unit B,CHRW,2025-04-19,2025-04-22,2025-04-21,None
SHIP-100009,Business Unit B,EXPD,2025-10-17,2025-10-22,2025-10-21,None
SHIP-100010,Business Unit B,JBHT,2025-07-03,2025-07-06,2025-07-05,None
SHIP-100011,Business Unit A,EXPD,2025-03-24,2025-03-27,2025-03-27,None
SHIP-100012,Business Unit A,KNIN,2025-08-14,2025-08-17,2025-08-16,None
SHIP-100013,Business Unit B,EXPD,2025-07-25,2025-07-29,2025-07-28,None
SHIP-100014,Business Unit A,CHRW,2025-03-26,2025-03-28,2025-03-27,None
SHIP-100015,Business Unit A,MAEU,2025-09-23,2025-09-28,2025-09-28,None
SHIP-100016,Business Unit A,CHRW,2025-11-02,2025-11-04,2025-11-04,None
SHIP-100017,Business Unit A,JBHT,2025-05-05,2025-05-10,2025-05-09,None
SHIP-100018,Business Unit A,JBHT,2025-07-27,2025-07-29,2025-07-29,None
SHIP-100019,Business Unit B,KNIN,2025-05-13,2025-05-15,2025-05-14,None
SHIP-100020,Business Unit B,JBHT,2025-11-05,2025-11-10,2025-11-09,None
SHIP-100021,Business Unit A,MAEU,2025-03-26,2025-03-28,2025-03-28,None
SHIP-100022,Business Unit A,JBHT,2025-12-21,2025-12-24,2025-12-23,None
SHIP-100023,Business Unit A,MAEU,2025-10-08,2025-10-10,2025-10-10,None
SHIP-100024,Business Unit A,EXPD,2025-04-13,2025-04-16,2025-04-15,None
SHIP-100025,Business Unit B,CHRW,2025-10-19,2025-10-23,2025-10-23,None
SHIP-100026,Business Unit B,CHRW,2025-07-20,2025-07-22,2025-07-21,None
SHIP-100027,Business Unit B,KNIN,2025-02-11,2025-02-13,2025-02-12,None
SHIP-100028,Business Unit B,JBHT,2025-06-02,2025-06-06,2025-06-06,None
SHIP-100029,Business Unit A,MAEU,2025-01-07,2025-01-12,2025-01-11,None
SHIP-100030,Business Unit A,KNIN,2025-07-21,2025-07-25,2025-07-24,None
SHIP-100031,Business Unit A,JBHT,2025-02-02,2025-02-07,2025-02-07,None
SHIP-100032,Business Unit B,JBHT,2025-07-14,2025-07-19,2025-07-18,None
SHIP-100033,Business Unit B,MAEU,2025-12-31,2026-01-05,2026-01-05,None
SHIP-100034,Business Unit B,CHRW,2025-08-30,2025-09-01,2025-09-02,equipment failure
